ObjectID,Latitude,Longitude,Altitude,
Boat-82,61.6736896228039,7.82380838119707,-0.210225619401149,0.00578490505838188
Boat-12,-25.0188262086522,-92.4588618662111,2.83326521915372,0.0112060788734054
Boat-92,-59.9729093151397,-142.420296184435,-2.38761825013553,0.0182214052065682
Airplane-37,62.3596580625092,-122.504810002846,10443.3216173932,0.023343934682819
Airplane-35,-65.5445139099674,161.188961508585,10458.817055686,0.0244441013371978
Boat-12,-25.0192836448357,-92.4567396892204,2.40979297999843,0.0270223599796805
Boat-46,53.8440167012958,-78.1189183968331,2.87587299046671,0.0290521227679977
Boat-5,73.0529326826287,123.657566388424,4.92968384706791,0.0297231013584392
Boat-58,-52.0211496870911,-58.7022084530642,2.68088950301272,0.0347077924882764
Airplane-62,18.8207393696797,-165.707914820752,9917.06159323053,0.0357603554717569
Boat-96,13.5585728701507,54.345467878161,-3.49830754697759,0.037317462164563
Boat-13,-53.652463699088,-139.72075805016,-0.537542457600277,0.0382457917747312
Airplane-8,48.4476836547378,109.35054796074,10409.1459183715,0.0383179539423909
Airplane-31,22.5178774605762,85.1258633615037,10442.6797622133,0.0388336702837682
Boat-29,-65.4776239750045,160.312720330515,-0.522296479103659,0.0391883301247222
Boat-86,71.9542811035014,116.102048117534,3.09563419313192,0.0391906815041394
Boat-34,17.2540443961343,9.05785028633691,-0.857360139450523,0.0392406684379675
Boat-81,-40.0871756844105,42.7088581672884,-0.0888437280970509,0.0451990395935504
Boat-3,-7.5890616540628,-74.7286187284323,-0.669126637812928,0.0455305239543404
Boat-54,63.4579933405994,-32.7721637951139,0.878222038978991,0.0482311798824773
Boat-56,-46.901729278082,89.6920625025192,4.2709272924726,0.0483951462923159
Boat-44,-61.5481328236502,-153.404413505509,-4.28557279343066,0.0507870102586975
Boat-67,87.8981503569312,-39.2775761973422,1.09590626969553,0.0512887971750257
Airplane-37,62.3746838869789,-122.48599323241,9824.73837729793,0.0520553693895847
Boat-38,-0.282764135353896,-54.0584893667388,-3.94172094884414,0.0562356247000039
Boat-69,-19.7847196073081,-102.57618431476,0.79707087653658,0.0596737028877561
Boat-51,-37.9006823679615,171.270942663508,-1.56214324784222,0.0607543272229743
Boat-47,70.2495322275997,40.4288512704681,2.91654710742567,0.0628400858595454
Boat-71,-20.1604128482713,155.727104221126,-2.98315305798558,0.0650381803850794
Boat-64,6.0977408883527,-145.591078869726,4.22506682673019,0.0653641486621236
Boat-19,57.6636584575038,17.1861578176351,-2.3839604081334,0.0688045700136853
Boat-90,81.7079834014438,178.253161240984,-0.351930585159044,0.0707711599841001
Boat-25,66.2888708056253,14.1545206746261,1.08343743111972,0.0709686657657045
Boat-2,-69.1269014814631,-178.751212573445,-1.45628316290958,0.072700347997673
Boat-95,-81.3597797961328,-51.039104717103,3.72869272906111,0.0769010929983969
Boat-3,-7.59008728735893,-74.7265506634203,-1.88059054257193,0.0771915749660935
Airplane-65,-61.2169071845406,-2.77205230978107,10706.1190118255,0.0849601457501197
Boat-56,-46.9040289672641,89.6956654964132,0.11196834203474,0.0876137489097531
Airplane-42,25.8215971582967,-70.2582014188966,10568.2554296525,0.0878127586185159
Boat-90,81.7133706778762,178.252068694248,2.30443229443167,0.0896838372869065
